869	351	S12a
870	108	SV1S
871	108	SV1V
872	28	SVAM
873	26	SVAL
874	28	SVAW
875	28	SVB
876	11	SV-P
877	103	SV1a
878	25	SVC
879	99	SV2P
880	99	SV2D
881	7	SVP1
882	210	SV2a
883	140	SVD
884	23	SVD
885	23	SVD
886	22	SVD
887	24	SVD
888	23	SVD
889	24	SVD
890	24	SVD
891	24	SVD
892	26	SVD
893	30	SVD
894	141	SV3
895	46	SVF
896	32	WCS23
897	92	SV3a
898	23	SVEM
899	23	SVEL
900	44	SVEL
901	95	SV4K
902	95	SV4M
903	6	CLF
904	55	SVG
905	360	SV4a
906	100	SV5K
907	100	SV5M
908	61	SVHK
909	61	SVHM
910	142	SV5M
911	98	SVI
912	49	SVI
913	96	SV5a
914	133	SV6
915	22	SVJL
916	20	SVJP
917	94	SV6a
918	135	SV7
919	52	SVK
920	25	SVLS
921	25	SVLN
922	94	SV7a
923	138	SV8
924	183	SVM
925	29	SVM
926	29	SVM
927	29	SVM
928	29	SVM
929	29	SVM
930	29	SVM
931	28	SVM
932	29	SVM
933	28	SVM
934	237	SV8a
935	132	SV9
936	53	SVN
938	21	SVOM
939	21	SVOD
940	92	SV9a
941	132	SV10
942	174	SV11B
943	174	SV11W
944	92	M1L
945	92	M1S
946	51	MA
947	23	MBG
948	23	MBD
949	116	M2
950	250	M2a
951	782	MC
952	117	M3
953	120	M4
954	81	M5
